"species","n_recordings_clearly_detected","correctly_identified_15","incorrectly_identified_15","correctly_identified_55","incorrectly_identified_55","correctly_identified_85","incorrectly_identified_85","non_present_species_15","non_present_species_55","non_present_species_85"
"Acrocephalus arundinaceus","0","0","2","0","0","0","0","2","0","0"
"Aegithalos caudatus","4","0","0","0","0","0","0","0","0","0"
"Alauda arvensis","6","0","0","0","0","0","0","0","0","0"
"Alectoris rufa","3","0","1","0","0","0","0","0","0","0"
"Anthus trivialis","3","3","0","2","0","1","0","0","0","0"
"Ardea cinerea","0","0","1","0","0","0","0","1","0","0"
"Buteo buteo","1","1","2","1","1","0","0","0","0","0"
"Certhia brachydactyla","10","3","1","2","0","1","0","0","0","0"
"Cettia cetti","0","0","2","0","0","0","0","2","0","0"
"Charadrius hiaticula","0","0","1","0","0","0","0","1","0","0"
"Chloris chloris","5","0","1","0","0","0","0","0","0","0"
"Cisticola juncidis","5","0","1","0","0","0","0","0","0","0"
"Columba oenas","2","0","0","0","0","0","0","0","0","0"
"Columba palumbus","16","2","0","1","0","0","0","0","0","0"
"Coracias garrulus","0","0","1","0","0","0","0","1","0","0"
"Corvus corax","3","0","0","0","0","0","0","0","0","0"
"Corvus cornix","0","0","3","0","1","0","0","3","1","0"
"Corvus corone","42","6","1","2","0","0","0","0","0","0"
"Corvus monedula","2","0","0","0","0","0","0","0","0","0"
"Coturnix coturnix","9","3","4","2","0","2","0","0","0","0"
"Cuculus canorus","10","1","1","1","0","1","0","0","0","0"
"Curruca communis","50","0","0","0","0","0","0","0","0","0"
"Cyanistes caeruleus","23","3","2","0","0","0","0","0","0","0"
"Dendrocopos major","5","1","2","1","0","1","0","0","0","0"
"Dendrocoptes medius","3","2","1","2","0","2","0","0","0","0"
"Dryocopus martius","0","0","2","0","0","0","0","2","0","0"
"Emberiza calandra","32","7","3","4","1","2","1","0","0","0"
"Emberiza cirlus","16","8","3","5","0","3","0","0","0","0"
"Emberiza citrinella","18","1","0","0","0","0","0","0","0","0"
"Erithacus rubecula","27","4","2","3","0","3","0","0","0","0"
"Fringilla coelebs","19","2","0","0","0","0","0","0","0","0"
"Galerida cristata","1","0","0","0","0","0","0","0","0","0"
"Galerida theklae","0","0","1","0","0","0","0","1","0","0"
"Gallinula chloropus","0","0","1","0","0","0","0","1","0","0"
"Garrulus glandarius","8","1","0","0","0","0","0","0","0","0"
"Hippolais polyglotta","11","5","8","5","0","4","0","0","0","0"
"Hirundo rustica","2","0","0","0","0","0","0","0","0","0"
"Ixobrychus minutus","0","0","3","0","2","0","1","3","2","1"
"Jynx torquilla","1","1","1","1","1","1","1","0","0","0"
"Lanius senator","0","0","1","0","0","0","0","1","0","0"
"Linaria cannabina","0","0","2","0","0","0","0","2","0","0"
"Lophophanes cristatus","1","1","0","1","0","0","0","0","0","0"
"Lullula arborea","11","3","8","3","0","2","0","0","0","0"
"Luscinia megarhynchos","94","41","2","18","1","7","0","0","0","0"
"Melanocorypha calandra","0","0","2","0","0","0","0","2","0","0"
"Merops apiaster","1","1","4","1","1","1","0","0","0","0"
"Milvus migrans","1","0","1","0","1","0","0","0","0","0"
"Nycticorax nycticorax","0","0","1","0","0","0","0","1","0","0"
"Oriolus oriolus","29","4","2","2","0","0","0","0","0","0"
"Otus scops","14","0","0","0","0","0","0","0","0","0"
"Parus major","17","2","1","0","0","0","0","0","0","0"
"Passer domesticus","19","3","0","2","0","0","0","0","0","0"
"Passer hispaniolensis","0","0","2","0","0","0","0","2","0","0"
"Passer montanus","0","0","3","0","0","0","0","3","0","0"
"Periparus ater","1","0","1","0","0","0","0","0","0","0"
"Phasianus colchicus","8","0","0","0","0","0","0","0","0","0"
"Phoenicurus ochruros","4","1","2","0","0","0","0","0","0","0"
"Phoenicurus phoenicurus","0","0","2","0","0","0","0","2","0","0"
"Phylloscopus bonelli","3","1","3","0","0","0","0","0","0","0"
"Phylloscopus collybita","35","10","0","5","0","2","0","0","0","0"
"Phylloscopus ibericus","0","0","3","0","0","0","0","3","0","0"
"Pica pica","8","1","2","1","1","0","0","0","0","0"
"Picus sharpei","0","0","1","0","0","0","0","1","0","0"
"Picus viridis","3","1","3","1","1","1","1","0","0","0"
"Podiceps cristatus","0","0","1","0","0","0","0","1","0","0"
"Poecile palustris","1","0","0","0","0","0","0","0","0","0"
"Prunella modularis","3","1","0","0","0","0","0","0","0","0"
"Ptyonoprogne rupestris","0","0","1","0","0","0","0","1","0","0"
"Pyrrhula pyrrhula","0","0","2","0","0","0","0","2","0","0"
"Rallus aquaticus","0","0","1","0","0","0","0","1","0","0"
"Regulus ignicapilla","6","2","3","2","0","1","0","0","0","0"
"Saxicola rubicola","5","1","2","1","1","1","1","0","0","0"
"Serinus serinus","0","0","2","0","0","0","0","2","0","0"
"Sitta europaea","1","0","0","0","0","0","0","0","0","0"
"Streptopelia decaocto","23","1","0","0","0","0","0","0","0","0"
"Streptopelia turtur","9","5","1","2","0","1","0","0","0","0"
"Strix aluco","3","1","3","1","0","1","0","0","0","0"
"Sturnus unicolor","0","0","5","0","0","0","0","5","0","0"
"Sturnus vulgaris","3","0","0","0","0","0","0","0","0","0"
"Sylvia atricapilla","105","32","2","14","0","4","0","0","0","0"
"Sylvia borin","0","0","10","0","4","0","1","10","4","1"
"Troglodytes troglodytes","16","4","0","1","0","1","0","0","0","0"
"Turdus merula","83","3","1","1","1","1","1","0","0","0"
"Turdus philomelos","9","1","1","1","0","1","0","0","0","0"
"Turdus viscivorus","5","1","2","1","1","1","0","0","0","0"
"Upupa epops","1","0","1","0","0","0","0","0","0","0"
"Total detections","859","175","135","90","18","46","7","56","7","2"
"Total species","60","41","62","32","14","25","7","26","3","2"
