species,n_foreground_recordings_on_xenocanto,n_foreground_recordings_on_macaulay,total_online_recordings
Alauda arvensis,2215,1029,3244
Alectoris rufa,272,158,430
Anthus spinoletta,614,278,892
Anthus trivialis,1741,676,2417
Athene noctua,1107,642,1749
Buteo buteo,824,388,1212
Certhia brachydactyla,1111,889,2000
Cisticola juncidis,803,1026,1829
Columba oenas,244,99,343
Columba palumbus,701,403,1104
Corvus cornix,903,201,1104
Corvus corone,1461,619,2080
Coturnix coturnix,905,595,1500
Cuculus canorus,1689,985,2674
Curruca communis,3189,784,3973
Curruca iberiae,475,251,726
Curruca melanocephala,1160,730,1890
Cyanistes caeruleus,3897,1131,5028
Dendrocopos major,2186,1140,3326
Dryocopus martius,1372,498,1870
Emberiza calandra,2440,657,3097
Emberiza cia,348,277,625
Emberiza cirlus,749,487,1236
Emberiza citrinella,2939,502,3441
Erithacus rubecula,4737,2602,7339
Fringilla coelebs,5651,1984,7635
Galerida theklae,239,282,521
Garrulus glandarius,1784,742,2526
Hippolais polyglotta,689,563,1252
Hirundo rustica,1635,1913,3548
Ixobrychus minutus,561,223,784
Jynx torquilla,535,401,936
Lanius collurio,542,169,711
Lanius senator,159,90,249
Leiopicus medius,535,270,805
Lophophanes cristatus,842,431,1273
Lullula arborea,939,570,1509
Luscinia megarhynchos,2099,1960,4059
Merops apiaster,522,439,961
Muscicapa striata,1135,492,1627
Nycticorax nycticorax,895,1276,2171
Oriolus oriolus,1142,803,1945
Otus scops,536,633,1169
Parus major,6892,2199,9091
Passer domesticus,2287,4522,6809
Passer montanus,2516,966,3482
Periparus ater,2382,1190,3572
Phoenicurus ochruros,1172,590,1762
Phoenicurus phoenicurus,1303,509,1812
Phylloscopus bonelli,568,541,1109
Phylloscopus collybita,5127,2314,7441
Phylloscopus ibericus,597,821,1418
Phylloscopus trochilus,4177,984,5161
Pica pica,1035,579,1614
Picus viridis,850,347,1197
Prunella modularis,2193,878,3071
Regulus ignicapilla,1018,801,1819
Regulus regulus,1778,1056,2834
Saxicola rubicola,612,409,1021
Sitta europaea,1765,958,2723
Streptopelia decaocto,840,1536,2376
Streptopelia turtur,339,300,639
Strix aluco,2532,1416,3948
Sturnus vulgaris,1513,2380,3893
Sylvia atricapilla,4223,2298,6521
Sylvia borin,1344,711,2055
Tringa nebularia,823,388,1211
Troglodytes troglodytes,3640,2140,5780
Turdus merula,5964,2444,8408
Turdus philomelos,4249,1718,5967
Turdus viscivorus,1058,450,1508
