"label","sound_category","total_time","n_recordings_clearly_detected","n_recordings_possibly_detected","species"
"Aeg cau","Bird",20.164937,4,4,"Aegithalos caudatus"
"Ala arv","Bird",393.34152,9,10,"Alauda arvensis"
"Ale ruf","Bird",21.627503,3,4,"Alectoris rufa"
"Ana pla","Bird",19.815647,1,1,"Anas platyrhynchos"
"Ant spi","Bird",95.809847,4,4,"Anthus spinoletta"
"Ant tri","Bird",350.250146,16,16,"Anthus trivialis"
"Asi otu","Bird",8.794965,1,2,"Asio otus"
"But but","Bird",3.790908,1,1,"Buteo buteo"
"Car car","Bird",8.590482,1,4,"Carduelis carduelis"
"Car cit","Bird",2.770629,2,3,"Carduelis citrinella"
"Cer bra","Bird",36.841565,9,11,"Certhia brachydactyla"
"Chl chl","Bird",18.331918,6,8,"Chloris chloris"
"Cis jun","Bird",51.401523,6,6,"Cisticola juncidis"
"Col oen","Bird",18.248467,2,2,"Columba oenas"
"Col pal","Bird",179.697296,17,19,"Columba palumbus"
"Cor mon","Bird",1.563435,2,2,"Corvus monedula"
"Cor one","Bird",352.65624,49,50,"Corvus corone"
"Cor rax","Bird",21.989988,5,6,"Corvus corax"
"Cot cot","Bird",73.052712,13,13,"Coturnix coturnix"
"Cuc can","Bird",142.991515,13,15,"Cuculus canorus"
"Cya cae","Bird",210.71585,28,49,"Cyanistes caeruleus"
"Den maj","Bird",7.59022100000001,5,7,"Dendrocopos major"
"Den med","Bird",40.019987,3,7,"Leiopicus medius"
"Emb cal","Bird",287.508433,34,36,"Emberiza calandra"
"Emb cia","Bird",22.430555,4,5,"Emberiza cia"
"Emb cir","Bird",202.489564,20,28,"Emberiza cirlus"
"Emb cit","Bird",84.113215,21,28,"Emberiza citrinella"
"Eri rub","Bird",404.751521,33,47,"Erithacus rubecula"
"Fri coe","Bird",353.318006,37,42,"Fringilla coelebs"
"Gal cri","Bird",2.387179,1,1,"Galerida cristata"
"Gar gla","Bird",37.682121,8,15,"Garrulus glandarius"
"Hip pol","Bird",362.641532,14,16,"Hippolais polyglotta"
"Hir rus","Bird",70.085645,4,4,"Hirundo rustica"
"Jyn tor","Bird",44.457001,1,2,"Jynx torquilla"
"Lop cri","Bird",27.191843,4,7,"Lophophanes cristatus"
"Lox cur","Bird",0.864962999999996,2,3,"Loxia curvirostra"
"Lul arb","Bird",189.473315,14,25,"Lullula arborea"
"Lus meg","Bird",2102.432709,99,104,"Luscinia megarhynchos"
"Mer api","Bird",59.965257,1,3,"Merops apiaster"
"Mil mig","Bird",18.500635,1,1,"Milvus migrans"
"Mon sax","Bird",26.114645,1,1,"Monticola saxatilis"
"Oen oen","Bird",11.865701,1,1,"Oenanthe oenanthe"
"Oiseau sp.","Bird",524.096023,134,134,"Unidentified bird"
"Ori ori","Bird",77.206043,31,44,"Oriolus oriolus"
"Otu sco","Bird",348.822286,14,21,"Otus scops"
"Par maj","Bird",195.685008,22,34,"Parus major"
"Pas dom","Bird",411.402881,21,27,"Passer domesticus"
"Per ate","Bird",64.177014,8,9,"Periparus ater"
"Pha col","Bird",7.363269,9,9,"Phasianus colchicus"
"Pho och","Bird",59.493903,9,12,"Phoenicurus ochruros"
"Phy bon","Bird",13.38165,3,5,"Phylloscopus bonelli"
"Phy col","Bird",782.994048,43,44,"Phylloscopus collybita"
"Pic pic","Bird",27.420029,10,14,"Pica pica"
"Pic sha","Bird",15.486886,2,2,"Picus sharpei"
"Pic vir","Bird",9.09481600000001,4,5,"Picus viridis"
"Poe pal","Bird",3.480723,2,4,"Poecile palustris"
"Pru mod","Bird",98.761035,9,10,"Prunella modularis"
"Pyr gra","Bird",2.947477,1,2,"Pyrrhocorax graculus"
"Pyr rax","Bird",2.91379099999999,2,2,"Pyrrhocorax pyrrhocorax"
"Reg ign","Bird",58.948187,6,7,"Regulus ignicapilla"
"Reg reg","Bird",20.396542,1,1,"Regulus regulus"
"Sax ola","Bird",59.118992,8,11,"Saxicola rubicola"
"Ser ser","Bird",10.479295,3,4,"Serinus serinus"
"Sit eur","Bird",13.327463,3,4,"Sitta europaea"
"Str alu","Bird",13.037022,3,4,"Strix aluco"
"Str dec","Bird",382.528583,27,30,"Streptopelia decaocto"
"Str tur","Bird",198.418874,12,12,"Streptopelia turtur"
"Stu vul","Bird",54.367155,2,2,"Sturnus vulgaris"
"Syl atr","Bird",2849.096529,127,131,"Sylvia atricapilla"
"Syl com","Bird",454.027383,52,58,"Curruca communis"
"Tro tro","Bird",418.708259,25,28,"Troglodytes troglodytes"
"Tur mer","Bird",1067.002061,93,102,"Turdus merula"
"Tur phi","Bird",114.979845,14,19,"Turdus philomelos"
"Tur vis","Bird",16.752282,5,9,"Turdus viscivorus"
"Upu epo","Bird",1.832411,1,2,"Upupa epops"
